study_hours,attendance,assignment_score,result
0,73,86,Fail
3,79,74,Pass
7,66,62,Pass
4,52,46,Fail
1,84,99,Pass
5,72,33,Fail
4,45,49,Fail
1,63,76,Fail
10,58,44,Pass
10,55,99,Pass
10,79,76,Pass
2,67,38,Fail
8,72,45,Pass
6,98,98,Pass
6,98,90,Pass
10,87,39,Pass
5,80,79,Pass
7,52,32,Pass
3,82,99,Pass
7,84,80,Pass
3,64,48,Fail
7,92,71,Pass
8,81,64,Pass
2,75,75,Pass
2,66,55,Fail
10,77,98,Pass
1,99,93,Pass
9,46,66,Pass
2,44,78,Fail
2,82,50,Fail
4,84,93,Pass
4,97,34,Pass
1,96,99,Pass
9,90,33,Pass
5,70,68,Pass
4,62,64,Pass
5,81,30,Pass
0,49,53,Fail
4,71,86,Pass
8,82,99,Pass
9,92,70,Pass
1,69,83,Fail
0,78,75,Fail
9,70,89,Pass
10,57,89,Pass
8,75,86,Pass
9,41,60,Pass
8,53,53,Pass
8,52,65,Pass
5,68,59,Pass
7,51,53,Pass
10,78,59,Pass
0,41,36,Fail
9,71,64,Pass
3,52,84,Pass
0,85,43,Fail
7,66,39,Pass
0,88,45,Fail
2,80,83,Pass
3,56,99,Pass
7,79,73,Pass
5,70,74,Pass
9,73,85,Pass
6,99,86,Pass
7,63,50,Pass
1,84,97,Pass
9,74,79,Pass
10,87,62,Pass
7,45,36,Pass
2,58,99,Pass
6,69,44,Pass
2,46,61,Fail
6,49,49,Pass
10,80,44,Pass
1,71,77,Fail
9,73,100,Pass
5,67,50,Pass
2,99,71,Pass
2,54,55,Fail
8,69,43,Pass
6,76,86,Pass
4,68,66,Pass
9,61,87,Pass
6,43,50,Pass
8,59,98,Pass
0,71,32,Fail
6,75,66,Pass
5,89,78,Pass
9,43,48,Pass
8,66,41,Pass
0,56,90,Fail
3,51,70,Fail
8,61,62,Pass
3,56,79,Pass
9,49,97,Pass
2,93,100,Pass
8,40,62,Pass
1,61,53,Fail
3,65,90,Pass
5,95,90,Pass
1,98,57,Fail
7,57,87,Pass
7,89,72,Pass
0,53,70,Fail
2,86,68,Pass
9,68,78,Pass
8,51,46,Pass
4,75,99,Pass
5,98,99,Pass
3,74,94,Pass
9,91,34,Pass
1,100,31,Fail
10,51,51,Pass
7,46,86,Pass
10,68,95,Pass
5,50,45,Fail
4,72,80,Pass
8,45,68,Pass
0,86,69,Fail
4,54,67,Pass
5,71,89,Pass
4,90,88,Pass
5,50,39,Fail
5,97,93,Pass
6,62,92,Pass
3,65,78,Pass
10,73,93,Pass
7,85,61,Pass
6,73,36,Pass
8,68,50,Pass
6,43,49,Pass
2,56,55,Fail
2,74,97,Pass
7,52,44,Pass
4,80,43,Pass
3,78,56,Pass
7,54,69,Pass
5,94,87,Pass
1,68,57,Fail
3,68,55,Fail
10,50,92,Pass
3,91,95,Pass
5,71,54,Pass
5,41,32,Fail
0,86,73,Fail
7,53,71,Pass
5,59,35,Fail
2,61,68,Fail
8,50,81,Pass
1,66,52,Fail
10,42,79,Pass
7,56,72,Pass
9,83,48,Pass
2,95,98,Pass
4,67,80,Pass
5,68,40,Pass
9,60,41,Pass
5,86,37,Pass
3,55,53,Fail
2,76,70,Pass
3,98,65,Pass
0,59,84,Fail
3,45,38,Fail
0,58,76,Fail
0,96,44,Fail
9,44,77,Pass
5,42,71,Pass
4,98,89,Pass
10,40,99,Pass
3,97,41,Pass
10,99,31,Pass
2,77,36,Fail
0,54,32,Fail
5,73,32,Fail
1,100,56,Fail
7,74,69,Pass
9,88,62,Pass
4,64,30,Fail
6,63,37,Pass
9,51,61,Pass
1,57,77,Fail
7,54,33,Pass
1,83,99,Pass
3,55,48,Fail
0,66,61,Fail
4,47,38,Fail
8,99,41,Pass
0,85,40,Fail
8,64,75,Pass
10,56,45,Pass
7,68,30,Pass
5,92,92,Pass
6,47,50,Pass
2,54,59,Fail
0,66,42,Fail
4,85,63,Pass
1,89,33,Fail
4,91,57,Pass
7,46,88,Pass
10,42,56,Pass
8,68,98,Pass
1,83,54,Fail
2,92,32,Fail
2,63,97,Pass
0,99,54,Fail
7,97,49,Pass
5,42,63,Pass
7,59,55,Pass
10,85,34,Pass
8,54,90,Pass
4,64,38,Fail
2,69,79,Pass
4,53,35,Fail
4,46,89,Pass
4,56,73,Pass
2,83,40,Fail
10,59,95,Pass
9,75,76,Pass
3,48,32,Fail
8,77,59,Pass
9,87,50,Pass
8,96,57,Pass
1,99,91,Pass
7,61,62,Pass
7,93,64,Pass

